VehicleKey,VehicleID,Make,Model,Year,FuelType,Transmission,Engine,NumberOfDoors,Drivetrain,MaxPower,Price
3037,Volvo_Coupe_1991,Volvo,Coupe,1991,regular unleaded,AUTOMATIC,4-cylinder,2,rear wheel drive,188,2000
3038,Honda_CR-V_2014,Honda,CR-V,2014,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,185,26470
3048,Honda_CR-V_2015,Honda,CR-V,2015,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,185,32895
3058,Honda_CR-V_2016,Honda,CR-V,2016,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,185,27295
3070,Honda_CR-Z_2014,Honda,CR-Z,2014,regular unleaded,AUTOMATIC,4-cylinder,2,front wheel drive,130,20645
3076,Honda_CR-Z_2015,Honda,CR-Z,2015,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,130,21990
3082,Honda_CR-Z_2016,Honda,CR-Z,2016,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,130,22140
3088,Toyota_Cressida_1990,Toyota,Cressida,1990,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,190,2000
3089,Toyota_Cressida_1991,Toyota,Cressida,1991,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,190,2000
3090,Toyota_Cressida_1992,Toyota,Cressida,1992,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,190,2000
3091,Chrysler_Crossfire_2006,Chrysler,Crossfire,2006,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,215,29145
3097,Chrysler_Crossfire_2007,Chrysler,Crossfire,2007,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,215,38955
3101,Chrysler_Crossfire_2008,Chrysler,Crossfire,2008,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,215,39130
3103,Honda_Crosstour_2013,Honda,Crosstour,2013,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,278,33540
3111,Honda_Crosstour_2014,Honda,Crosstour,2014,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,278,33690
3119,Honda_Crosstour_2015,Honda,Crosstour,2015,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,192,33315
3127,Subaru_Crosstrek_2016,Subaru,Crosstrek,2016,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,160,26395
3133,Subaru_Crosstrek_2017,Subaru,Crosstrek,2017,regular unleaded,MANUAL,4-cylinder,4,all wheel drive,148,22495
3137,Ford_Crown Victoria_2009,Ford,Crown Victoria,2009,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,4,rear wheel drive,224,29205
3138,Ford_Crown Victoria_2010,Ford,Crown Victoria,2010,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,4,rear wheel drive,224,29905
3139,Ford_Crown Victoria_2011,Ford,Crown Victoria,2011,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,4,rear wheel drive,239,29905
3140,Chevrolet_Cruze Limited_2016,Chevrolet,Cruze Limited,2016,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,138,20195
3149,Chevrolet_Cruze_2015,Chevrolet,Cruze,2015,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,138,16170
3159,Chevrolet_Cruze_2016,Chevrolet,Cruze,2016,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,153,19120
3165,Chevrolet_Cruze_2017,Chevrolet,Cruze,2017,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,153,21920
3174,Lexus_CT 200h_2015,Lexus,CT 200h,2015,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,134,32200
3175,Lexus_CT 200h_2016,Lexus,CT 200h,2016,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,134,31250
3176,Lexus_CT 200h_2017,Lexus,CT 200h,2017,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,134,31250
3177,Cadillac_CT6_2016,Cadillac,CT6,2016,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,rear wheel drive,265,58395
3186,Cadillac_CT6_2017,Cadillac,CT6,2017,premium unleaded (required),AUTOMATIC,6-cylinder,4,all wheel drive,404,64395
3195,Cadillac_CTS Coupe_2012,Cadillac,CTS Coupe,2012,regular unleaded,AUTOMATIC,6-cylinder,2,all wheel drive,318,40615
3201,Cadillac_CTS Coupe_2013,Cadillac,CTS Coupe,2013,regular unleaded,AUTOMATIC,6-cylinder,2,all wheel drive,318,40805
3207,Cadillac_CTS Coupe_2014,Cadillac,CTS Coupe,2014,regular unleaded,AUTOMATIC,6-cylinder,2,rear wheel drive,318,39495
3213,Cadillac_CTS-V Coupe_2013,Cadillac,CTS-V Coupe,2013,premium unleaded (required),MANUAL,8-cylinder,2,rear wheel drive,556,63215
3214,Cadillac_CTS-V Coupe_2014,Cadillac,CTS-V Coupe,2014,premium unleaded (required),MANUAL,8-cylinder,2,rear wheel drive,556,63600
3215,Cadillac_CTS-V Coupe_2015,Cadillac,CTS-V Coupe,2015,premium unleaded (required),MANUAL,8-cylinder,2,rear wheel drive,556,69900
3216,Cadillac_CTS-V Wagon_2012,Cadillac,CTS-V Wagon,2012,premium unleaded (required),MANUAL,8-cylinder,4,rear wheel drive,556,63215
3217,Cadillac_CTS-V Wagon_2013,Cadillac,CTS-V Wagon,2013,premium unleaded (required),MANUAL,8-cylinder,4,rear wheel drive,556,63215
3218,Cadillac_CTS-V Wagon_2014,Cadillac,CTS-V Wagon,2014,premium unleaded (required),MANUAL,8-cylinder,4,rear wheel drive,556,63600
3219,Cadillac_CTS-V_2014,Cadillac,CTS-V,2014,premium unleaded (required),MANUAL,8-cylinder,4,rear wheel drive,556,63600
3220,Cadillac_CTS-V_2016,Cadillac,CTS-V,2016,premium unleaded (required),AUTOMATIC,8-cylinder,4,rear wheel drive,640,83995
3221,Cadillac_CTS-V_2017,Cadillac,CTS-V,2017,premium unleaded (required),AUTOMATIC,8-cylinder,4,rear wheel drive,640,85995
3222,Cadillac_CTS Wagon_2012,Cadillac,CTS Wagon,2012,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,270,39015
3230,Cadillac_CTS Wagon_2013,Cadillac,CTS Wagon,2013,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,318,44190
3238,Cadillac_CTS Wagon_2014,Cadillac,CTS Wagon,2014,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,318,49795
3244,Cadillac_CTS_2015,Cadillac,CTS,2015,flex-fuel (unleaded/E85),AUTOMATIC,6-cylinder,4,all wheel drive,321,54970
3260,Cadillac_CTS_2016,Cadillac,CTS,2016,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,335,58285
3276,Cadillac_CTS_2017,Cadillac,CTS,2017,regular unleaded,AUTOMATIC,6-cylinder,4,all wheel drive,335,61195
3286,Nissan_Cube_2012,Nissan,Cube,2012,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,122,14980
3290,Nissan_Cube_2013,Nissan,Cube,2013,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,122,16760
3293,Nissan_Cube_2014,Nissan,Cube,2014,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,122,19000
3296,Oldsmobile_Custom Cruiser_1990,Oldsmobile,Custom Cruiser,1990,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,140,2000
3297,Oldsmobile_Custom Cruiser_1991,Oldsmobile,Custom Cruiser,1991,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,170,2000
3298,Oldsmobile_Custom Cruiser_1992,Oldsmobile,Custom Cruiser,1992,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,170,2000
3299,Oldsmobile_Cutlass Calais_1990,Oldsmobile,Cutlass Calais,1990,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,110,2000
3307,Oldsmobile_Cutlass Calais_1991,Oldsmobile,Cutlass Calais,1991,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,110,2000
3315,Oldsmobile_Cutlass Ciera_1992,Oldsmobile,Cutlass Ciera,1992,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,160,2000
3319,Oldsmobile_Cutlass Ciera_1993,Oldsmobile,Cutlass Ciera,1993,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,160,2000
3323,Oldsmobile_Cutlass Ciera_1994,Oldsmobile,Cutlass Ciera,1994,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,120,2000
3327,Oldsmobile_Cutlass Supreme_1995,Oldsmobile,Cutlass Supreme,1995,regular unleaded,AUTOMATIC,6-cylinder,2,front wheel drive,160,2000
3330,Oldsmobile_Cutlass Supreme_1996,Oldsmobile,Cutlass Supreme,1996,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,160,2000
3332,Oldsmobile_Cutlass Supreme_1997,Oldsmobile,Cutlass Supreme,1997,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,160,2000
3334,Oldsmobile_Cutlass_1997,Oldsmobile,Cutlass,1997,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,155,2000
3336,Oldsmobile_Cutlass_1998,Oldsmobile,Cutlass,1998,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,155,2000
3338,Oldsmobile_Cutlass_1999,Oldsmobile,Cutlass,1999,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,150,2045
3340,Mazda_CX-3_2016,Mazda,CX-3,2016,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,146,19960
3346,Mazda_CX-3_2017,Mazda,CX-3,2017,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,146,24990
3352,Mazda_CX-5_2014,Mazda,CX-5,2014,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,155,22795
3359,Mazda_CX-5_2015,Mazda,CX-5,2015,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,184,27970
3367,Mazda_CX-5_2016,Mazda,CX-5,2016,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,155,21795
3381,Mazda_CX-7_2010,Mazda,CX-7,2010,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,front wheel drive,244,25950
3387,Mazda_CX-7_2011,Mazda,CX-7,2011,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,all wheel drive,244,33340
3394,Mazda_CX-7_2012,Mazda,CX-7,2012,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,front wheel drive,244,26455
3401,Mazda_CX-9_2014,Mazda,CX-9,2014,regular unleaded,AUTOMATIC,6-cylinder,4,all wheel drive,273,31575
3407,Mazda_CX-9_2015,Mazda,CX-9,2015,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,273,35035
3413,Mazda_CX-9_2016,Mazda,CX-9,2016,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,227,35970
3420,Dodge_Dakota_2008,Dodge,Dakota,2008,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,210,26170
3452,Dodge_Dakota_2009,Dodge,Dakota,2009,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,210,28630
3470,Dodge_Dakota_2010,Dodge,Dakota,2010,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,210,26325
3485,Dodge_Dart_2014,Dodge,Dart,2014,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,160,16495
3490,Dodge_Dart_2015,Dodge,Dart,2015,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,184,21645
3495,Dodge_Dart_2016,Dodge,Dart,2016,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,160,19495
3506,Rolls-Royce_Dawn_2016,Rolls-Royce,Dawn,2016,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,563,335000
3507,Dodge_Daytona_1991,Dodge,Daytona,1991,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,152,2000
3513,Dodge_Daytona_1992,Dodge,Daytona,1992,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,224,2000
3517,Dodge_Daytona_1993,Dodge,Daytona,1993,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,100,2000
3521,Aston Martin_DB7_2003,Aston Martin,DB7,2003,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,420,156300
3525,Aston Martin_DB9 GT_2016,Aston Martin,DB9 GT,2016,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,540,235307
3528,Aston Martin_DB9_2013,Aston Martin,DB9,2013,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,510,198700
3530,Aston Martin_DB9_2014,Aston Martin,DB9,2014,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,510,200800
3532,Aston Martin_DB9_2015,Aston Martin,DB9,2015,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,510,198295
3536,Aston Martin_DBS_2010,Aston Martin,DBS,2010,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,510,283900
3540,Aston Martin_DBS_2011,Aston Martin,DBS,2011,premium unleaded (required),MANUAL,12-cylinder,2,rear wheel drive,510,282295
3544,Aston Martin_DBS_2012,Aston Martin,DBS,2012,premium unleaded (required),MANUAL,12-cylinder,2,rear wheel drive,510,295987
3552,Land Rover_Defender_1994,Land Rover,Defender,1994,regular unleaded,MANUAL,8-cylinder,2,four wheel drive,182,27736
3553,Land Rover_Defender_1995,Land Rover,Defender,1995,regular unleaded,MANUAL,8-cylinder,2,four wheel drive,182,30709
3554,Land Rover_Defender_1997,Land Rover,Defender,1997,regular unleaded,AUTOMATIC,8-cylinder,2,four wheel drive,182,36931
3556,Cadillac_DeVille_2003,Cadillac,DeVille,2003,regular unleaded,AUTOMATIC,8-cylinder,4,front wheel drive,275,49150
3559,Cadillac_DeVille_2004,Cadillac,DeVille,2004,regular unleaded,AUTOMATIC,8-cylinder,4,front wheel drive,300,50750
3562,Cadillac_DeVille_2005,Cadillac,DeVille,2005,regular unleaded,AUTOMATIC,8-cylinder,4,front wheel drive,275,51600
3566,Lamborghini_Diablo_2001,Lamborghini,Diablo,2001,premium unleaded (required),MANUAL,12-cylinder,2,all wheel drive,550,294900
3567,Mitsubishi_Diamante_2002,Mitsubishi,Diamante,2002,premium unleaded (required),AUTOMATIC,6-cylinder,4,front wheel drive,205,28447
3570,Mitsubishi_Diamante_2003,Mitsubishi,Diamante,2003,premium unleaded (required),AUTOMATIC,6-cylinder,4,front wheel drive,205,25997
3573,Mitsubishi_Diamante_2004,Mitsubishi,Diamante,2004,premium unleaded (required),AUTOMATIC,6-cylinder,4,front wheel drive,205,24999
3576,Land Rover_Discovery Series II_2000,Land Rover,Discovery Series II,2000,regular unleaded,AUTOMATIC,8-cylinder,4,all wheel drive,188,2561
3577,Land Rover_Discovery Series II_2001,Land Rover,Discovery Series II,2001,premium unleaded (required),AUTOMATIC,8-cylinder,4,four wheel drive,188,36350
3580,Land Rover_Discovery Series II_2002,Land Rover,Discovery Series II,2002,premium unleaded (required),AUTOMATIC,8-cylinder,4,four wheel drive,188,33350
3582,Land Rover_Discovery Sport_2015,Land Rover,Discovery Sport,2015,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,all wheel drive,240,37070
3585,Land Rover_Discovery Sport_2016,Land Rover,Discovery Sport,2016,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,all wheel drive,240,41955
3588,Land Rover_Discovery Sport_2017,Land Rover,Discovery Sport,2017,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,all wheel drive,240,46595
3591,Land Rover_Discovery_2003,Land Rover,Discovery,2003,premium unleaded (required),AUTOMATIC,8-cylinder,4,four wheel drive,217,34350
3594,Land Rover_Discovery_2004,Land Rover,Discovery,2004,premium unleaded (required),AUTOMATIC,8-cylinder,4,four wheel drive,217,38685
3597,Cadillac_DTS_2009,Cadillac,DTS,2009,regular unleaded,AUTOMATIC,8-cylinder,4,front wheel drive,275,51460
3603,Cadillac_DTS_2010,Cadillac,DTS,2010,premium unleaded (recommended),AUTOMATIC,8-cylinder,4,front wheel drive,275,46280
3607,Cadillac_DTS_2011,Cadillac,DTS,2011,premium unleaded (recommended),AUTOMATIC,8-cylinder,4,front wheel drive,292,59875
3611,Dodge_Durango_2015,Dodge,Durango,2015,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,290,36895
3619,Dodge_Durango_2016,Dodge,Durango,2016,premium unleaded (recommended),AUTOMATIC,8-cylinder,4,rear wheel drive,360,41995
3629,Dodge_Durango_2017,Dodge,Durango,2017,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,295,37495
3639,Dodge_Dynasty_1991,Dodge,Dynasty,1991,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,100,2000
3641,Dodge_Dynasty_1992,Dodge,Dynasty,1992,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,100,2000
3643,Dodge_Dynasty_1993,Dodge,Dynasty,1993,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,141,2000
3645,Ford_E-150_1996,Ford,E-150,1996,regular unleaded,AUTOMATIC,6-cylinder,3,rear wheel drive,199,2000
3650,Ford_E-150_1997,Ford,E-150,1997,regular unleaded,AUTOMATIC,6-cylinder,3,rear wheel drive,200,2000
3654,Ford_E-150_1998,Ford,E-150,1998,regular unleaded,AUTOMATIC,6-cylinder,3,rear wheel drive,200,2301
3658,Ford_E-250_1996,Ford,E-250,1996,regular unleaded,AUTOMATIC,6-cylinder,3,rear wheel drive,199,2000
3662,Ford_E-250_1997,Ford,E-250,1997,regular unleaded,AUTOMATIC,6-cylinder,3,rear wheel drive,200,2000
3666,Ford_E-250_1998,Ford,E-250,1998,regular unleaded,AUTOMATIC,6-cylinder,3,rear wheel drive,235,2080
3668,Mercedes-Benz_E-Class_2015,Mercedes-Benz,E-Class,2015,premium unleaded (required),AUTOMATIC,6-cylinder,2,all wheel drive,329,55850
3689,Mercedes-Benz_E-Class_2016,Mercedes-Benz,E-Class,2016,premium unleaded (required),AUTOMATIC,6-cylinder,4,rear wheel drive,329,63100
3708,Mercedes-Benz_E-Class_2017,Mercedes-Benz,E-Class,2017,premium unleaded (required),AUTOMATIC,6-cylinder,2,rear wheel drive,329,62600
3717,Volkswagen_e-Golf_2015,Volkswagen,e-Golf,2015,electric,DIRECT_DRIVE,-cylinder,4,front wheel drive,115,33450
3719,Volkswagen_e-Golf_2016,Volkswagen,e-Golf,2016,electric,DIRECT_DRIVE,-cylinder,4,front wheel drive,115,28995
3721,Ford_E-Series Van_2012,Ford,E-Series Van,2012,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,3,rear wheel drive,255,31460
3727,Ford_E-Series Van_2013,Ford,E-Series Van,2013,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,3,rear wheel drive,225,27325
3733,Ford_E-Series Van_2014,Ford,E-Series Van,2014,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,3,rear wheel drive,225,28600
3739,Ford_E-Series Wagon_2012,Ford,E-Series Wagon,2012,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,3,rear wheel drive,225,28760
3745,Ford_E-Series Wagon_2013,Ford,E-Series Wagon,2013,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,3,rear wheel drive,255,35245
3751,Ford_E-Series Wagon_2014,Ford,E-Series Wagon,2014,flex-fuel (unleaded/E85),AUTOMATIC,8-cylinder,3,rear wheel drive,225,32675
3757,Mercedes-Benz_E55 AMG_1999,Mercedes-Benz,E55 AMG,1999,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,349,5878
3758,Mercedes-Benz_E55 AMG_2000,Mercedes-Benz,E55 AMG,2000,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,349,6120
3759,Toyota_ECHO_2003,Toyota,ECHO,2003,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,108,10775
3763,Toyota_ECHO_2004,Toyota,ECHO,2004,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,108,10885
3767,Toyota_ECHO_2005,Toyota,ECHO,2005,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,108,10985
3771,Mitsubishi_Eclipse Spyder_2010,Mitsubishi,Eclipse Spyder,2010,regular unleaded,AUTOMATIC,4-cylinder,2,front wheel drive,162,27799
3773,Mitsubishi_Eclipse Spyder_2011,Mitsubishi,Eclipse Spyder,2011,premium unleaded (recommended),AUTOMATIC,6-cylinder,2,front wheel drive,265,32599
3775,Mitsubishi_Eclipse Spyder_2012,Mitsubishi,Eclipse Spyder,2012,regular unleaded,AUTOMATIC,4-cylinder,2,front wheel drive,162,28299
3778,Mitsubishi_Eclipse_2010,Mitsubishi,Eclipse,2010,regular unleaded,AUTOMATIC,4-cylinder,2,front wheel drive,162,24699
3783,Mitsubishi_Eclipse_2011,Mitsubishi,Eclipse,2011,regular unleaded,AUTOMATIC,4-cylinder,2,front wheel drive,162,24699
3787,Mitsubishi_Eclipse_2012,Mitsubishi,Eclipse,2012,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,162,19499
3792,Ford_Edge_2015,Ford,Edge,2015,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,all wheel drive,245,30095
3800,Ford_Edge_2016,Ford,Edge,2016,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,front wheel drive,245,28700
3807,Ford_Edge_2017,Ford,Edge,2017,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,front wheel drive,245,28950
3814,Oldsmobile_Eighty-Eight Royale_1993,Oldsmobile,Eighty-Eight Royale,1993,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,170,2000
3816,Oldsmobile_Eighty-Eight Royale_1994,Oldsmobile,Eighty-Eight Royale,1994,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,170,2000
3820,Oldsmobile_Eighty-Eight Royale_1995,Oldsmobile,Eighty-Eight Royale,1995,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,205,2000
3824,Oldsmobile_Eighty-Eight_1997,Oldsmobile,Eighty-Eight,1997,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,205,2000
3826,Oldsmobile_Eighty-Eight_1998,Oldsmobile,Eighty-Eight,1998,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,205,2000
3828,Oldsmobile_Eighty-Eight_1999,Oldsmobile,Eighty-Eight,1999,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,205,2210
3831,Hyundai_Elantra Coupe_2013,Hyundai,Elantra Coupe,2013,regular unleaded,AUTOMATIC,4-cylinder,2,front wheel drive,145,18595
3837,Hyundai_Elantra Coupe_2014,Hyundai,Elantra Coupe,2014,regular unleaded,AUTOMATIC,4-cylinder,2,front wheel drive,166,19600
3839,Hyundai_Elantra GT_2015,Hyundai,Elantra GT,2015,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,173,19800
3841,Hyundai_Elantra GT_2016,Hyundai,Elantra GT,2016,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,173,18800
3843,Hyundai_Elantra GT_2017,Hyundai,Elantra GT,2017,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,173,18800
3845,Hyundai_Elantra Touring_2010,Hyundai,Elantra Touring,2010,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,138,17195
3849,Hyundai_Elantra Touring_2011,Hyundai,Elantra Touring,2011,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,138,15995
3853,Hyundai_Elantra Touring_2012,Hyundai,Elantra Touring,2012,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,138,17195
3857,Hyundai_Elantra_2015,Hyundai,Elantra,2015,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,173,22600
3864,Hyundai_Elantra_2016,Hyundai,Elantra,2016,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,173,21250
3872,Hyundai_Elantra_2017,Hyundai,Elantra,2017,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,147,18150
3881,Cadillac_Eldorado_2000,Cadillac,Eldorado,2000,regular unleaded,AUTOMATIC,8-cylinder,2,front wheel drive,275,2905
3883,Cadillac_Eldorado_2001,Cadillac,Eldorado,2001,regular unleaded,AUTOMATIC,8-cylinder,2,front wheel drive,300,44011
3885,Cadillac_Eldorado_2002,Cadillac,Eldorado,2002,regular unleaded,AUTOMATIC,8-cylinder,2,front wheel drive,300,47660
3888,Buick_Electra_1990,Buick,Electra,1990,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,165,2000
3892,Honda_Element_2009,Honda,Element,2009,regular unleaded,MANUAL,4-cylinder,4,all wheel drive,166,22785
3902,Honda_Element_2010,Honda,Element,2010,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,166,23885
3909,Honda_Element_2011,Honda,Element,2011,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,166,24185
3913,Lotus_Elise_2009,Lotus,Elise,2009,premium unleaded (required),MANUAL,4-cylinder,2,rear wheel drive,189,43995
3916,Lotus_Elise_2010,Lotus,Elise,2010,premium unleaded (required),MANUAL,4-cylinder,2,rear wheel drive,189,47250
3918,Lotus_Elise_2011,Lotus,Elise,2011,premium unleaded (required),MANUAL,4-cylinder,2,rear wheel drive,189,51845
3921,Buick_Enclave_2015,Buick,Enclave,2015,regular unleaded,AUTOMATIC,6-cylinder,4,all wheel drive,288,49305
3926,Buick_Enclave_2016,Buick,Enclave,2016,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,288,43660
3931,Buick_Enclave_2017,Buick,Enclave,2017,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,288,39065
3936,Buick_Encore_2015,Buick,Encore,2015,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,138,29450
3944,Buick_Encore_2016,Buick,Encore,2016,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,138,31285
3954,Buick_Encore_2017,Buick,Encore,2017,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,138,31965
3964,Mitsubishi_Endeavor_2008,Mitsubishi,Endeavor,2008,premium unleaded (required),AUTOMATIC,6-cylinder,4,all wheel drive,225,29099
3968,Mitsubishi_Endeavor_2010,Mitsubishi,Endeavor,2010,premium unleaded (recommended),AUTOMATIC,6-cylinder,4,front wheel drive,225,29999
3971,Mitsubishi_Endeavor_2011,Mitsubishi,Endeavor,2011,premium unleaded (recommended),AUTOMATIC,6-cylinder,4,front wheel drive,225,28299
3974,Hyundai_Entourage_2007,Hyundai,Entourage,2007,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,242,26395
3977,Hyundai_Entourage_2008,Hyundai,Entourage,2008,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,250,29895
3979,Buick_Envision_2016,Buick,Envision,2016,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,all wheel drive,252,42070
3981,Buick_Envision_2017,Buick,Envision,2017,flex-fuel (unleaded/E85),AUTOMATIC,4-cylinder,4,all wheel drive,197,39570
3987,GMC_Envoy XL_2004,GMC,Envoy XL,2004,regular unleaded,AUTOMATIC,6-cylinder,4,four wheel drive,275,33570
3991,GMC_Envoy XL_2005,GMC,Envoy XL,2005,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,275,33810
3997,GMC_Envoy XL_2006,GMC,Envoy XL,2006,regular unleaded,AUTOMATIC,6-cylinder,4,four wheel drive,291,33160
4003,GMC_Envoy XUV_2005,GMC,Envoy XUV,2005,regular unleaded,AUTOMATIC,6-cylinder,4,four wheel drive,275,36115
4007,GMC_Envoy_2007,GMC,Envoy,2007,regular unleaded,AUTOMATIC,6-cylinder,4,four wheel drive,291,32960
